#mixed height 66 and 72
#DepartmentID,Sales,Length,Height,Sales,Length
3353,3353,39,7200,3786,39
3353,3353,42,7200,3815,42
3364,3364,3,6600,893,3
3364,3364,6,6600,1348,6
3364,3364,9,6600,1465,9
3364,3364,12,6600,1481,12
3364,3364,15,6600,1482,15
3364,3364,18,6600,1482,18
3364,3364,21,6600,1482,21
3364,3364,3,7200,955,3
3364,3364,6,7200,1386,6
3364,3364,9,7200,1474,9
3364,3364,12,7200,1482,12
3364,3364,15,7200,1482,15
3364,3364,18,7200,1482,18
3364,3364,21,7200,1482,21
3365,3365,18,6600,290,18
3365,3365,21,6600,327,21
3365,3365,24,6600,359,24
3365,3365,27,6600,387,27
3365,3365,30,6600,411,30
3365,3365,33,6600,431,33
3365,3365,36,6600,448,36
3365,3365,39,6600,461,39
3365,3365,42,6600,471,42
3365,3365,18,7200,311,18
3365,3365,21,7200,348,21
3365,3365,24,7200,380,24
3365,3365,27,7200,407,27
3365,3365,30,7200,429,30
3365,3365,33,7200,448,33
3365,3365,36,7200,462,36
3365,3365,39,7200,473,39
3365,3365,42,7200,481,42
3366,3366,9,6600,2675,9
3366,3366,12,6600,3100,12
3366,3366,15,6600,3328,15
3366,3366,18,6600,3434,18
3366,3366,21,6600,3475,21
3366,3366,24,6600,3489,24
3366,3366,27,6600,3494,27
3366,3366,30,6600,3495,30
3366,3366,33,6600,3495,33
3366,3366,9,7200,2814,9
3366,3366,12,7200,3202,12
3366,3366,15,7200,3388,15
3366,3366,18,7200,3462,18
3366,3366,21,7200,3486,21
3366,3366,24,7200,3493,24
3366,3366,27,7200,3494,27
3366,3366,30,7200,3495,30
3366,3366,33,7200,3495,33
3367,3367,21,6600,5440,21
3367,3367,24,6600,6009,24
3367,3367,27,6600,6514,27
3367,3367,30,6600,6954,30
3367,3367,33,6600,7331,33
3367,3367,36,6600,7651,36
3367,3367,39,6600,7917,39
3367,3367,42,6600,8135,42
3367,3367,45,6600,8312,45
3367,3367,21,7200,5810,21
3367,3367,24,7200,6383,24
3367,3367,27,7200,6878,27
3367,3367,30,7200,7300,30
3367,3367,33,7200,7651,33
3367,3367,36,7200,7939,36
3367,3367,39,7200,8170,39
3367,3367,42,7200,8353,42
3367,3367,45,7200,8495,45
3368,3368,6,6600,421,6
3368,3368,9,6600,579,9
3368,3368,12,6600,690,12
3368,3368,15,6600,761,15
3368,3368,18,6600,800,18
3368,3368,21,6600,820,21
3368,3368,24,6600,829,24
3368,3368,27,6600,833,27
3368,3368,30,6600,834,30
3368,3368,6,7200,453,6
3368,3368,9,7200,614,9
3368,3368,12,7200,720,12
3368,3368,15,7200,782,15
3368,3368,18,7200,813,18
3368,3368,21,7200,827,21
3368,3368,24,7200,832,24
3368,3368,27,7200,834,27
3368,3368,30,7200,834,30
3369,3369,12,6600,1334,12
3369,3369,15,6600,1568,15
3369,3369,18,6600,1753,18
3369,3369,21,6600,1892,21
3369,3369,24,6600,1993,24
3369,3369,27,6600,2062,27
3369,3369,30,6600,2107,30
3369,3369,33,6600,2136,33
3369,3369,36,6600,2153,36
3369,3369,12,7200,995,12
3369,3369,15,7200,1241,15
3369,3369,18,7200,1484,18
3369,3369,21,7200,1725,21
3369,3369,24,7200,1963,24
3369,3369,27,7200,2198,27
3369,3369,30,7200,2428,30
3369,3369,33,7200,2655,33
3369,3369,36,7200,2877,36
3370,3370,15,6600,2826,15
3370,3370,18,6600,3014,18
3370,3370,21,6600,3120,21
3370,3370,24,6600,3175,24
3370,3370,27,6600,3201,27
3370,3370,30,6600,3212,30
3370,3370,33,6600,3216,33
3370,3370,36,6600,3217,36
3370,3370,39,6600,3218,39
3370,3370,15,7200,2924,15
3370,3370,18,7200,3080,18
3370,3370,21,7200,3160,21
3370,3370,24,7200,3196,24
3370,3370,27,7200,3210,27
3370,3370,30,7200,3216,30
3370,3370,33,7200,3217,33
3370,3370,36,7200,3218,36
3370,3370,39,7200,3218,39
3381,3381,3,6600,110,3
3381,3381,6,6600,168,6
3381,3381,9,6600,184,9
3381,3381,12,6600,187,12
3381,3381,15,6600,187,15
3381,3381,18,6600,187,18
3381,3381,3,7200,118,3
3381,3381,6,7200,173,6
3381,3381,9,7200,186,9
3381,3381,12,7200,187,12
3381,3381,15,7200,187,15
3381,3381,18,7200,187,18
6399,6399,3,6600,97,3
6399,6399,6,6600,167,6
6399,6399,9,6600,203,9
6399,6399,12,6600,216,12
6399,6399,15,6600,220,15
6399,6399,18,6600,221,18
6399,6399,3,7200,105,3
6399,6399,6,7200,176,6
6399,6399,9,7200,208,9
6399,6399,12,7200,218,12
6399,6399,15,7200,220,15
6399,6399,18,7200,221,18
